combo-id,run_id,tick,n_agents,movement_saturation,signal_representation,relative_leader_influence,log_recruitment_strictness,log_desertion_strictness,social_influence,n_signals,new_signal_rate,leader_values,leader_election,leader_lifespan,population_composition,ea_bias,count_A_noneas,count_B_noneas,count_C_noneas,count_D_noneas,count_E_noneas,count_A_eas,count_B_eas,count_C_eas,count_D_eas,count_E_eas,count_eas,count_noneas,count_A,count_B,count_C,count_D,count_E,conversion_rate,desertion_rate,conversion_rate_A,conversion_rate_B,conversion_rate_C,conversion_rate_D,conversion_rate_E,converted_A,converted_B,converted_C,converted_D,converted_E,desertion_rate_A,desertion_rate_B,desertion_rate_C,desertion_rate_D,desertion_rate_E,deserted_A,deserted_B,deserted_C,deserted_D,deserted_E,leader_value_profile,cumsum_signals_eas,cumsum_signals_noneas,cumsum_signals,mean_seniority_eas,mean_seniority_noneas,mean_seniority,count_year1_eas,count_year1_noneas,count_year1,count_year2_eas,count_year2_noneas,count_year2,count_year3_eas,count_year3_noneas,count_year3,count_year4_eas,count_year4_noneas,count_year4,count_align_0_0.05_eas,count_align_0.05_0.1_eas,count_align_0.1_0.15_eas,count_align_0.15_0.2_eas,count_align_0.2_0.25_eas,count_align_0.25_0.3_eas,count_align_0.3_0.35_eas,count_align_0.35_0.4_eas,count_align_0.4_0.45_eas,count_align_0.45_0.5_eas,count_align_0.5_0.55_eas,count_align_0.55_0.6_eas,count_align_0.6_0.65_eas,count_align_0.65_0.7_eas,count_align_0.7_0.75_eas,count_align_0.75_0.8_eas,count_align_0.8_0.85_eas,count_align_0.85_0.9_eas,count_align_0.9_0.95_eas,count_align_0.95_1_eas,count_align_0_0.05_noneas,count_align_0.05_0.1_noneas,count_align_0.1_0.15_noneas,count_align_0.15_0.2_noneas,count_align_0.2_0.25_noneas,count_align_0.25_0.3_noneas,count_align_0.3_0.35_noneas,count_align_0.35_0.4_noneas,count_align_0.4_0.45_noneas,count_align_0.45_0.5_noneas,count_align_0.5_0.55_noneas,count_align_0.55_0.6_noneas,count_align_0.6_0.65_noneas,count_align_0.65_0.7_noneas,count_align_0.7_0.75_noneas,count_align_0.75_0.8_noneas,count_align_0.8_0.85_noneas,count_align_0.85_0.9_noneas,count_align_0.9_0.95_noneas,count_align_0.95_1_noneas,count_graduates_eas,count_graduates_noneas,count_graduates,mean_signals_eas,mean_signals_noneas,mean_signals_leader,sd_signals_eas,sd_signals_noneas,mean_signal_weight_3_eas,sd_signal_weight_3_eas,mean_signal_weight_2_eas,sd_signal_weight_2_eas,mean_signal_weight_3_noneas,sd_signal_weight_3_noneas,mean_signal_weight_2_noneas,sd_signal_weight_2_noneas,mean_signal_weight_3_leader,mean_signal_weight_2_leader,mean_signal_weight_1_eas,sd_signal_weight_1_eas,mean_signal_weight_0_eas,sd_signal_weight_0_eas,mean_signal_weight_neg1_eas,sd_signal_weight_neg1_eas,mean_signal_weight_neg2_eas,sd_signal_weight_neg2_eas,mean_signal_weight_1_noneas,sd_signal_weight_1_noneas,mean_signal_weight_0_noneas,sd_signal_weight_non0_eas,mean_signal_weight_neg1_noneas,sd_signal_weight_neg1_noneas,mean_signal_weight_neg2_noneas,sd_signal_weight_neg2_noneas,mean_signal_weight_1_leader,mean_signal_weight_0_leader,mean_signal_weight_neg1_leader,mean_signal_weight_neg2_leader
1,1,0,100,5,categorical,50,0.5,-0.5,0.25,5,100,value-profile-A,most-aligned,100,normal-narrow,1.5,4,22,38,26,5,0,4,0,0,0,4,95,5,26,38,26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,1,1,1,0,21,22,2,19,21,1,29,30,1,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,10,3,3,8,14,16,10,8,7,14,0,0,0,0,0,0.95,0.09052631578947369,2.2,0.6863327411532597,1.236835632020335,0.01,0,0.4,0,0.027510526315789464,0.09968609185485464,0.12433684210526315,0.16200947966264173,0.5,0.3,0.4,0,0.15,0,0.0395,0,5.0E-4,0,0.18826315789473683,0.12095534700311941,0.37325368421052607,0.27160062153695613,0.1959894736842106,0.1664810221589288,0.09064631578947369,0.11299660398825236,0.15,0.0399,0.01,1.0E-4
1,1,1,100,5,categorical,50,0.5,-0.5,0.25,5,100,value-profile-A,most-aligned,100,normal-narrow,1.5,4,22,38,26,5,0,4,0,0,0,4,95,5,26,38,26,5,0.06315789473684211,0,0,0.22727272727272727,0.02631578947368421,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,A,30,43,73,1.5,1.5,1.5,0,21,22,2,19,21,1,29,30,1,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,10,3,3,8,14,16,10,8,7,14,0,0,1,26,27,1.25,0.09263157894736843,2.6,0.8506963092234007,1.222092873995896,0.010129530335510213,9.973903578187547E-5,0.40518121342040836,0.003989561431275021,0.027510526315789447,0.09968609185485461,0.12433684210526318,0.16200947966264168,0.5,0.3,0.39478498629280256,0.005906028800210019,0.14960528663734515,0.003067870037466868,0.03922070042257466,0.0019308569657905661,0.0010782828913590988,1.061716509276173E-5,0.18826315789473683,0.12095534700311936,0.37325368421052596,0.27160062153695613,0.1959894736842105,0.16648102215892882,0.0906463157894737,0.11299660398825236,0.15,0.0399,0.01,1.0E-4
1,1,2,100,5,categorical,50,0.5,-0.5,0.25,5,100,value-profile-A,most-aligned,100,normal-narrow,1.5,6,24,33,22,5,0,8,1,0,0,9,90,7,32,34,22,5,0.06666666666666667,0,0.16666666666666666,0.125,0,0.09090909090909091,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,A,92,116,208,1.3333333333333333,1.7,1.67,0,27,27,4,17,22,3,18,21,2,28,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,6,0,0,0,0,0,0,0,0,0,2,6,6,3,7,16,12,8,2,12,16,0,0,0,0,0,0,0.9777777777777777,0.2111111111111111,2.8,0.941200608721959,1.2600990207886595,0.010093015082475973,2.1731043466844088E-4,0.36177058921339106,0.12862034924888627,0.03979444444444438,0.12376044943839494,0.14393333333333333,0.16970357831932137,0.5,0.3,0.36471154217796836,0.10127789188579803,0.21151018846748804,0.19160694766410807,0.0473868768027864,0.027585651914512496,0.004527788255890133,0.010216488703678283,0.19761111111111107,0.1267932666170634,0.3504322222222217,0.27139393186553235,0.1835333333333333,0.1680737665765718,0.08469555555555554,0.1138847099967164,0.15,0.0399,0.01,1.0E-4
1,1,3,100,5,categorical,50,0.5,-0.5,0.25,5,100,value-profile-A,most-aligned,100,normal-narrow,1.5,5,21,33,20,5,1,11,1,2,0,15,84,7,32,34,22,5,0.011904761904761904,0,0,0,0.030303030303030304,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,A,179,182,361,1.5,2.2142857142857144,2.11,3,24,27,6,15,22,3,18,21,3,27,30,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,5,5,0,0,0,0,0,0,0,0,0,3,3,5,6,10,22,5,3,6,8,13,0,0,0,3,27,30,1.0533333333333332,0.19047619047619047,2.8,1.1377233470463795,1.2210972654343824,0.0417100514699658,0.1271897966761678,0.3251155931549826,0.15514180817005235,0.03631547619047615,0.11743363621308993,0.13541666666666666,0.166977576471144,0.5,0.3,0.32782857249130826,0.12598793280885867,0.18175033530166873,0.15675841711932298,0.09057834828081131,0.1288267882561944,0.03301709930126327,0.07781931131299204,0.1920833333333333,0.12508119852679533,0.3648690476190472,0.27497094390910237,0.18558928571428562,0.16746591382564865,0.0857261904761905,0.1148278440258543,0.15,0.0399,0.01,1.0E-4
1,1,4,100,5,categorical,50,0.5,-0.5,0.25,5,100,value-profile-A,most-aligned,100,normal-narrow,1.5,4,25,35,17,5,1,9,2,1,0,13,86,6,34,37,18,5,0.011627906976744186,0,0,0.04,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A,260,260,520,1.8846153846153846,2.0348837209302326,2.025,0,30,30,4,23,27,6,15,22,3,18,21,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,3,5,0,0,0,0,0,0,0,0,0,2,4,2,11,10,20,2,11,8,10,6,0,0,0,0,0,0,1.0923076923076922,0.2116279069767442,2.8,1.2083443854490137,1.1941405707519919,0.04738872366831812,0.13682410905283657,0.31174649326726384,0.16762115356541576,0.030337209302325564,0.1044230378531162,0.1464709302325581,0.17339611832705246,0.5,0.3,0.31566855375789893,0.14354768292320685,0.2245933018261183,0.22645319603729283,0.07607832309065796,0.09956440514640974,0.02452460438974283,0.06513465541785433,0.2020348837209302,0.13134010163777707,0.37219883720930186,0.2763858830540611,0.17183139534883712,0.1622151006691083,0.07712674418604651,0.11217802597491143,0.15,0.0399,0.01,1.0E-4
1,1,5,100,5,categorical,50,0.5,-0.5,0.25,5,100,value-profile-A,most-aligned,100,normal-narrow,1.5,4,24,35,17,5,1,10,2,1,0,14,85,6,34,37,18,5,0.023529411764705882,0,0,0.08333333333333333,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,A,351,345,696,2.2857142857142856,2.5352941176470587,2.51,0,30,30,5,22,27,6,15,22,3,18,21,0,0,0,0,0,0,0,0,1,0,0,1,1,0,4,2,5,0,0,0,0,0,0,0,0,0,2,3,5,7,10,21,6,5,11,7,8,0,0,0,3,18,21,1.0714285714285714,0.2164705882352941,2.8,1.1205773430605042,1.22289934045789,0.0448591195532396,0.13209833819983388,0.3183776696298039,0.16404549952655906,0.030576470588235264,0.10501904889234193,0.14348823529411767,0.17219158032881415,0.5,0.3,0.3229423858687534,0.1464815221061689,0.2162611017855577,0.2206441461318992,0.07319333684974556,0.09546699289454606,0.024366386312899866,0.06660853744139843,0.1997058823529412,0.13032092471037388,0.3748129411764701,0.276954636043108,0.17338823529411765,0.16253022386457164,0.07802823529411763,0.11252997337404393,0.15,0.0399,0.01,1.0E-4
1,1,6,100,5,categorical,50,0.5,-0.5,0.25,5,100,value-profile-A,most-aligned,100,normal-narrow,1.5,5,27,34,13,7,1,9,2,1,0,13,86,7,36,36,14,7,0.03488372093023256,0,0,0.1111111111111111,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,A,437,466,903,2.3076923076923075,2.3372093023255816,2.35,0,21,21,0,30,30,7,20,27,6,15,22,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,5,3,0,0,0,0,0,0,0,0,0,3,4,6,3,10,15,9,6,7,16,7,0,0,0,0,0,0,1.1076923076923078,0.26046511627906976,2.8,1.2389899732629617,1.2279077159624612,0.04752016878963908,0.13743927815022003,0.3032574127950435,0.16320983633888447,0.03624651162790692,0.11596732267697035,0.15730813953488373,0.1774298563741981,0.5,0.3,0.3225980074059252,0.15821555988455757,0.22363055815138466,0.22568861906706522,0.0750506093348384,0.0994084147980498,0.0279432435231692,0.07335442371860416,0.20482558139534882,0.13748892506076216,0.35963720930232507,0.28040845839659645,0.1656569767441861,0.16696933958819246,0.07632558139534884,0.11994634504992005,0.15,0.0399,0.01,1.0E-4
1,1,7,100,5,categorical,50,0.5,-0.5,0.25,5,100,value-profile-A,most-aligned,100,normal-narrow,1.5,5,24,34,13,7,1,12,2,1,0,16,83,7,36,36,14,7,0.012048192771084338,0,0,0.041666666666666664,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A,542,559,1101,2.46875,2.8373493975903616,2.795,0,21,21,2,28,30,8,19,27,6,15,22,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,5,5,0,0,0,0,0,0,0,0,0,7,2,3,6,7,16,9,8,6,11,8,0,0,0,7,15,22,1.15,0.2289156626506024,3,1.202318435462571,1.2328563629679683,0.04064858158177302,0.1241452420213808,0.32149354225234095,0.15189717749205767,0.03719518072289148,0.11795898202301491,0.14853614457831324,0.17435702058952743,0.5,0.3,0.3392938046960924,0.15046083069491786,0.2049306623020966,0.20219917724540204,0.069316600948502,0.09246717143836795,0.024316808219194932,0.06961254474668842,0.19777108433734936,0.13472477141096478,0.36721445783132484,0.28255903986235176,0.1702168674698796,0.16821234027067064,0.07906626506024098,0.12122513250359539,0.15,0.0399,0.01,1.0E-4
1,1,8,100,5,categorical,50,0.5,-0.5,0.25,5,100,value-profile-A,most-aligned,100,normal-narrow,1.5,6,23,40,15,5,1,8,1,0,0,10,89,7,32,41,15,5,0.10112359550561797,0,0.16666666666666666,0.30434782608695654,0.025,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,B,617,664,1281,2.35,2.4831460674157304,2.455,0,22,22,0,21,21,3,27,30,7,19,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6,0,0,0,0,0,0,0,0,0,1,8,2,1,7,12,14,9,7,9,18,1,0,0,0,0,1.26,0.21123595505617979,1.6,0.9216223495022463,1.2248771038047226,0.059453597195418886,0.15568735760189414,0.3505867132684602,0.12010411889557604,0.040876404494381964,0.12420636422582439,0.13952247191011236,0.16945797464590734,0.009767011930259943,0.3962820254205679,0.3595163559703806,0.13820382365566442,0.1762721021975186,0.17541976739241383,0.048185493704471914,0.04881265395909442,0.005985737663749663,0.015018190904934824,0.19297752808988758,0.12677090804138938,0.39201011235955024,0.2832082935053536,0.16312921348314602,0.15654632860757461,0.07148426966292137,0.10885330714781873,0.4037824097638872,0.15573749883813062,0.033437251782738465,9.938022644157606E-4
1,1,9,100,5,categorical,50,0.5,-0.5,0.25,5,100,value-profile-A,most-aligned,100,normal-narrow,1.5,5,16,39,15,5,2,15,2,0,0,19,80,7,32,41,15,5,0.125,0,0.2,0.1875,0.1282051282051282,0.06666666666666667,0,1,3,5,1,0,0,0,0,0,0,0,0,0,0,0,B,745,701,1446,1.9736842105263157,3.0625,2.84,6,16,22,1,20,21,3,27,30,9,17,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,9,4,0,0,0,0,0,0,0,0,2,5,4,2,7,11,5,15,3,10,11,5,0,10,17,27,1.1578947368421053,0.1325,1.4,0.9261656195083241,1.1846739555474242,0.06143250926936287,0.15375709981523092,0.3480791829714957,0.1204036635913602,0.038224999999999926,0.1200533504822973,0.11621874999999995,0.15785688606909232,0.009767011930259943,0.3962820254205679,0.3531434023815713,0.12857032883615413,0.18421085487011396,0.17752625358137505,0.04786517970400959,0.04425344050059497,0.005268870803446565,0.01278072141439835,0.17631250000000004,0.11718411282024696,0.41373749999999954,0.284440881435221,0.17639999999999995,0.1595169607267317,0.07910625000000002,0.11228242797218586,0.4037824097638872,0.15573749883813062,0.033437251782738465,9.938022644157606E-4
1,1,10,100,5,categorical,50,0.5,-0.5,0.25,5,100,value-profile-A,most-aligned,100,normal-narrow,1.5,4,17,38,18,3,2,10,6,1,0,19,80,6,28,44,19,3,0.1,0,0.25,0.29411764705882354,0.05263157894736842,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,B,842,750,1592,1.394736842105263,2.425,2.215,0,27,27,8,14,22,4,17,21,7,22,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,6,8,0,0,0,0,0,0,0,0,0,1,4,2,1,9,11,6,21,9,10,6,0,0,0,0,0.8842105263157894,0.135,1.6,0.9549775300323781,1.1489452502055608,0.06064063800377418,0.1535046213848022,0.24964046696815786,0.18120968899965947,0.031991249999999985,0.10812728808583638,0.11857499999999996,0.15905404900953987,0.01,0.4,0.27545951804441143,0.15011922121230972,0.3071716505342266,0.27576472255883233,0.08606800472256708,0.0954647208266041,0.021019721726862835,0.04696225434949189,0.18343749999999992,0.11639792548392784,0.41286624999999955,0.27780698241662377,0.17651874999999995,0.15380880461847615,0.07661124999999999,0.10302154130618155,0.4,0.15,0.0395,5.0E-4
1,1,11,100,5,categorical,50,0.5,-0.5,0.25,5,100,value-profile-A,most-aligned,100,normal-narrow,1.5,3,12,36,18,3,3,15,8,1,0,27,72,6,28,44,19,3,0.09722222222222222,0,0,0.25,0.08333333333333333,0.05555555555555555,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,B,976,762,1738,1.6296296296296295,2.9027777777777777,2.545,3,24,27,9,13,22,4,17,21,11,18,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,9,8,0,0,0,0,0,0,0,0,0,0,6,4,2,4,12,12,16,3,9,4,0,12,18,30,0.9333333333333333,0.08611111111111111,1.6,1.0308669007996025,1.1100083509379377,0.0634269135049989,0.15524925592554714,0.26221039353205544,0.17669581763581885,0.027629166666666663,0.0992820586283995,0.09924999999999995,0.1464759269747032,0.01,0.4,0.2826315092030824,0.1496223564086561,0.2941511746184635,0.26863925991789805,0.0800520213892076,0.08808957527009688,0.017527987752192158,0.04033258719918606,0.170625,0.10712943829450328,0.42832499999999957,0.27655491406402044,0.1899166666666666,0.15600661325816184,0.08425416666666667,0.10582286413598743,0.4,0.15,0.0395,5.0E-4
1,1,12,100,5,categorical,50,0.5,-0.5,0.25,5,100,value-profile-A,most-aligned,100,normal-narrow,1.5,4,14,39,16,4,2,11,8,1,0,22,77,6,26,47,17,4,0.15584415584415584,0,0,0.42857142857142855,0.1282051282051282,0.0625,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,B,1085,813,1898,1.7272727272727273,2.103896103896104,2.01,0,30,30,4,23,27,11,10,22,7,14,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,9,2,0,0,0,0,0,0,0,0,0,1,0,4,5,7,4,13,21,9,11,2,0,0,0,0,0.8727272727272727,0.15584415584415584,1.2,1.0501995521087288,1.1094402570587947,0.05330091387966051,0.1423012905516392,0.2312357713767211,0.181099703692689,0.032966233766233755,0.11012089960152842,0.10690909090909083,0.15220261615240513,0.009670844927003585,0.3905017527755653,0.26829898287204523,0.16085316361011526,0.33619222106255564,0.2863486228361219,0.0901927852430458,0.09147376453894268,0.02077932556597158,0.04325948611282394,0.1727272727272727,0.11206361402576992,0.4275220779220774,0.2810705870433414,0.1801688311688311,0.15620336378524757,0.07970649350649352,0.10830712342037041,0.41468890460329655,0.15238347617820808,0.03173086765401558,0.0010241538619108121
1,1,13,100,5,categorical,50,0.5,-0.5,0.25,5,100,value-profile-A,most-aligned,100,normal-narrow,1.5,4,8,34,15,4,2,17,13,2,0,34,65,6,26,47,17,4,0.015384615384615385,0,0,0.125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1222,838,2060,1.7941176470588236,2.7,2.38,7,23,30,8,19,27,11,10,22,8,13,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,10,14,2,0,0,0,0,0,0,0,0,0,0,1,2,3,7,7,6,17,12,10,0,0,8,13,21,0.7823529411764706,0.09846153846153846,1.2,1.051758344079289,1.1504819585469699,0.03755720278666393,0.1150888912070762,0.22131122132473544,0.18202560454267247,0.037352307692307685,0.11947254667350918,0.08757692307692301,0.13570257662581295,0.009670844927003585,0.3905017527755653,0.2712978108076393,0.16334887374432858,0.3466203961143459,0.28303673693418463,0.09930754540133359,0.09782922730572709,0.02390582356528173,0.0473889279923453,0.1561538461538462,0.09780708543627331,0.43567999999999957,0.2826942646216934,0.19439999999999993,0.16085919697051834,0.08883692307692308,0.11313170638854791,0.41468890460329655,0.15238347617820808,0.03173086765401558,0.0010241538619108121
1,1,14,100,5,categorical,50,0.5,-0.5,0.25,5,100,value-profile-A,most-aligned,100,normal-narrow,1.5,4,10,38,17,3,1,13,11,2,0,27,72,5,24,49,19,3,0.1388888888888889,0,0,0.3,0.18421052631578946,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,B,1323,873,2196,2.185185185185185,2.25,2.23,0,21,21,8,22,30,8,19,27,11,10,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,9,10,1,0,0,0,0,0,0,0,0,0,0,1,2,3,6,5,7,23,14,10,1,0,0,0,0,0.7333333333333333,0.10833333333333334,1.2,1.07342387059826,1.142707287230504,0.02732822254525829,0.09469825556156569,0.20631482917728217,0.18325861551614417,0.03456666666666664,0.1137562726950245,0.09231249999999996,0.139831096238827,0.009670844927003585,0.3905017527755653,0.26705720989832116,0.1706142981786531,0.3582674910098125,0.2820629547453314,0.1136572135801851,0.1090305508554602,0.027375033789140742,0.051110661954337486,0.16284722222222225,0.10002755391126514,0.44137916666666605,0.2785632939114353,0.18673611111111105,0.15382610843211164,0.08215833333333333,0.10467273849049041,0.41468890460329655,0.15238347617820808,0.03173086765401558,0.0010241538619108121
1,1,15,100,5,categorical,50,0.5,-0.5,0.25,5,100,value-profile-A,most-aligned,100,normal-narrow,1.5,4,7,31,17,3,1,16,18,2,0,37,62,5,24,49,19,3,0.14516129032258066,0,0,0.2857142857142857,0.1935483870967742,0.058823529411764705,0,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,B,1458,882,2340,2.22972972972973,2.7096774193548385,2.53,2,19,21,11,19,30,11,16,27,13,8,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,14,12,2,0,0,0,0,0,0,0,0,0,0,1,3,1,6,4,10,18,10,8,1,0,14,8,22,0.6324324324324324,0.03870967741935484,1.2,1.0503762405769212,1.1342497967926477,0.022491157269865423,0.08038180391979378,0.1842554177056082,0.18152609572635967,0.038529032258064505,0.12225786559844505,0.08558870967741934,0.13212157603527702,0.009670844927003585,0.3905017527755653,0.254181434578264,0.17181839227934487,0.3989096823154764,0.2864927153601428,0.11470188898389522,0.09945629251487681,0.025460419146890994,0.04321616831484455,0.15620967741935488,0.09286728360315413,0.4262790322580641,0.2797067446376104,0.20139516129032256,0.16045534941699804,0.09199838709677419,0.10960825847181747,0.41468890460329655,0.15238347617820808,0.03173086765401558,0.0010241538619108121
1,1,16,100,5,categorical,50,0.5,-0.5,0.25,5,100,value-profile-A,most-aligned,100,normal-narrow,1.5,6,9,29,18,5,0,14,16,2,0,32,67,6,24,45,20,5,0.11940298507462686,0,0,0.4444444444444444,0.13793103448275862,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,B,1557,871,2428,1.96875,2.328358208955224,2.2,0,22,22,5,15,21,14,16,30,13,14,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,12,5,0,0,0,0,0,0,0,0,0,0,0,2,2,3,10,4,9,25,8,4,0,0,0,0,0.55625,0,0.8,1.0078114715878912,1.2087505302217565,0.009048800056400883,0.002170859275586123,0.17676625423818643,0.1798258052175336,0.05058955223880595,0.14208039031982153,0.10023880597014924,0.1428394775615895,0.01,0.4,0.26010382525956477,0.17677314368830743,0.41846756153462555,0.29204717104311684,0.10780114524452067,0.08878229694060717,0.02781241366670162,0.04856511840569225,0.1597761194029851,0.10204883276922515,0.3834164179104474,0.2833903532270033,0.20664925373134319,0.17248539716243558,0.09932985074626864,0.12053241864293927,0.4,0.15,0.0395,5.0E-4
1,1,17,100,5,categorical,50,0.5,-0.5,0.25,5,100,value-profile-A,most-aligned,100,normal-narrow,1.5,6,5,25,18,5,0,18,20,2,0,40,59,6,24,45,20,5,0.0847457627118644,0,0,0,0.2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,B,1662,859,2521,2.175,2.9237288135593222,2.61,4,18,22,8,12,21,15,15,30,13,14,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,19,8,0,0,0,0,0,0,0,0,0,0,0,3,3,2,7,4,9,23,6,2,0,13,14,27,0.51,-0.03389830508474576,0.8,1.0223138598985653,1.2612231091759958,0.009014773886755575,0.0019501583915938067,0.17950751153273312,0.17940776971649694,0.05609322033898303,0.15070890171682627,0.08535593220338981,0.12787096307200024,0.01,0.4,0.2623737411883183,0.18071432787696212,0.42201197100189675,0.2942086303709777,0.10228325247560732,0.08344987518154671,0.024808749914689017,0.04341116508451949,0.14618644067796618,0.0870262494241648,0.37777796610169445,0.28405186514498315,0.2238559322033899,0.17637753519396618,0.11073050847457626,0.12407504855479576,0.4,0.15,0.0395,5.0E-4
1,1,18,100,5,categorical,50,0.5,-0.5,0.25,5,100,value-profile-A,most-aligned,100,normal-narrow,1.5,5,10,23,23,6,0,11,20,1,0,32,67,5,22,43,24,6,0.08955223880597014,0,0,0,0.2608695652173913,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,B,1725,849,2574,2.15625,2.1343283582089554,2.14,0,27,27,6,16,22,8,12,21,18,12,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,14,3,0,0,0,0,0,0,0,0,0,0,0,0,3,11,5,3,15,13,16,1,0,0,0,0,0.41875,-0.03283582089552239,0.8,0.8576102162514551,1.35213161271905,0.009081086187939234,0.0015629899572607267,0.14191862201788474,0.17345882242691002,0.042419402985074614,0.13100691774333087,0.10296268656716417,0.14485874293529616,0.01,0.4,0.22077008586062835,0.17301757718828967,0.49904443468803017,0.28807946130048323,0.10482676118267144,0.07051238073708203,0.02435901006284606,0.03569832720920599,0.16402985074626872,0.1072141682955696,0.33789402985074596,0.269200920729096,0.23440298507462684,0.18094883000965603,0.11829104477611939,0.12658012641578997,0.4,0.15,0.0395,5.0E-4
1,1,19,100,5,categorical,50,0.5,-0.5,0.25,5,100,value-profile-A,most-aligned,100,normal-narrow,1.5,5,10,17,23,6,0,11,26,1,0,38,61,5,22,43,24,6,0.04918032786885246,0,0,0,0.11764705882352941,0.043478260869565216,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,B,1806,828,2634,2.3947368421052633,2.6311475409836067,2.54,2,25,27,8,14,22,9,11,21,19,11,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,20,4,0,0,0,0,0,0,0,0,0,0,0,0,7,7,5,7,11,10,11,3,0,19,11,30,0.39473684210526316,-0.022950819672131147,1.2,0.8770885485034575,1.3846424394309693,0.008972529069095,0.0014702463647199985,0.11945285140472177,0.16152368677949736,0.04560819672131147,0.1369804880205961,0.1111229508196721,0.14942048207819728,0.01,0.4,0.20516640833483005,0.17516123979176307,0.5349131944328152,0.2815384230831354,0.10681751898668762,0.06509779044149652,0.024677497771850437,0.03251625848301352,0.16836065573770506,0.11149634265853525,0.30227704918032766,0.2555665545368059,0.2456557377049181,0.18595480053370514,0.1269754098360656,0.1294935335010178,0.4,0.15,0.0395,5.0E-4
1,1,20,100,5,categorical,50,0.5,-0.5,0.25,5,100,value-profile-A,most-aligned,100,normal-narrow,1.5,6,17,18,30,6,0,4,16,2,0,22,77,6,22,34,32,6,0.05194805194805195,0,0,0.17647058823529413,0.05555555555555555,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,B,1847,833,2680,2.1818181818181817,2.051948051948052,2.09,0,30,30,4,23,27,8,14,22,10,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,10,4,3,0,0,0,0,0,0,0,0,0,0,1,2,7,7,8,10,17,7,17,1,0,0,0,0,0.3,0.05974025974025974,1.4,0.883591503441567,1.3934612686972356,0.008430616270027872,0.0025239151387308543,0.0858737235774318,0.14481137664260935,0.043709090909090885,0.13359405535724356,0.13214285714285723,0.16098397797735503,0.01,0.4,0.1640879559944757,0.1438771455647879,0.5701823462766339,0.2674780861978613,0.1326538398839683,0.09314778974149768,0.038771517997462375,0.05469518420851209,0.186883116883117,0.12031220067916,0.2808935064935061,0.23913810826737888,0.23625324675324677,0.18508615745135937,0.12011818181818194,0.12503784871965845,0.4,0.15,0.0395,5.0E-4
